screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
annerri2007,2021-09-11T09:52:27Z,Και δε μας λες από τωρα κα @SissyChristidou πόσους έχετε ακόμα να ξεπλύνετε για να ξέρουμε.. Αν είναι να γυρίσουμε από τώρα στην τσολακη... Μεγάλο κανάλι μεγάλες υποχρεώσεις φαίνεται.. Και εκεί που περισυ κάνατε αγώνα για το κίνημα #MeToo τώρα   κωλοτουμπα.. #xamogelakaipali,,,Always look on the bright side of life... Life lover...,Twitter for Android,el,1436628699210788866
morfo18,2021-09-11T09:47:32Z,"Να το ξαναπούμε. Κατανοούμε πλήρως ότι πολλές φορές είναι δύσκολο να αποδεχθούμε ότι κάποιος φίλος ή γνωστός έκανε φρικτά πράγματα. Αυτό το ξέπλυμα όμως από την Κωνσταντιδου είναι κατάπτυστο. Πείτε κυρία μου στα θύματα τον λόγο που ""συνέβησαν""όλα  #xamogelakaipali #MeToo https://t.co/7J2t8yfEGM",,,"Die dümmsten Kälber wählen ihre Metzger selber

To surrender dreams — this may be madness

каждая несчастливая семья несчастлива по-своему",Twitter for Android,el,1436627462008545280
AshCarpet,2021-09-11T09:45:15Z,"Σήμερα στις 17:00 στο Σιντριβάνι
#ΔΕΘ2021 
#MeToo 
#metooGR
#LGBTQ https://t.co/RE4e92ATv1",,,,Twitter for Android,el,1436626886952640513
thanasima_agna,2021-09-11T09:37:07Z,"Όσα ειπε η Ελισαβετ Κωνσταντινιδου ειναι ξεκάθαρα αυτό το 

Η ΓΛΩΣΣΑ ΚΟΚΚΑΛΑ ΔΕΝ ΕΧΕΙ ΚΑΙ ΚΟΚΚΑΛΑ ΤΣΑΚΙΖΕΙ. #ΦΙΛΙΠΠΙΔΗΣ  #xamogelakaipali #metoo #sympetheroiaptatirana",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter for iPad,el,1436624838966251520
auxentioskaleng,2021-09-11T09:30:30Z,"#XamogelaKaiPali κύρια Ελισάβετ Κωσταντινιδη ρωτήσατε αν έχουμε κάνει πράγματα που ντρεπομαστε.πολλα.αλλα σε σημείο να βιασουμε ηθικά και σωματικά άλλον ανθρωπο όπως ο #φιλιππιδης που αιτιολογείτε ευθαρσως, ποτέ.
#MeToo",,,".. Τώρα Νινετα χρυσό μου, τρίβω τον πάγο κι έρχομαι🇬🇷🙋‍♀️
Ιατρικη Αθηνών κυρ Στέφανε",Twitter for Android,el,1436623174255448066
49toisEkato,2021-09-11T09:29:39Z,"Ας εξηγησει καποιος στη Ζουμπουλία, ότι άλλο να κανεις κατι που ντρεπεσαι και αλλο να κανεις Ποινικο Αδικημα! Αλλο να βιαζεις το σωμα και την ψυχη μια κοπελας! Αααα να χαθείτε ολοι που θελετε να σωσετε τη φαρα σας!! Στα μπουντρουμια σας! #xamogelakaipali #metoo #metooGR",,,#greektvfun #campinglover #nudist,Twitter for iPhone,el,1436622961679683593
Bear5Manly,2021-09-11T09:28:57Z,Όταν ξεκίνησε το θέμα με το #metoo όλοι οι ηθοποιοί βροντοφώναζαν πως ήξεραν οι πάντες τι γινόταν για να μπορέσουν να κατηγορήσουν την Μενδωνη. Όταν τους έκραξε η κοινωνία επειδή έλεγαν ότι ήξεραν το γύρισαν πως δεν ήξερε κανείς τίποτα. #ΞΕΦΤΙΛΕΣ #xamogelakaipali,,,,Twitter for iPhone,el,1436622783866417153
thanasima_agna,2021-09-11T09:26:30Z,"H Ελισαβετ Κωνσταντινιδου μίλησε υπερ #φιλππιδης ως σκηνοθέτης και ηθοποιός οτι ειναι συγκλονιστικός, διαχωρίζει όσα έκανε στα θύματα του. Μάλιστα. Εντάξει. Κρίμα, δεν μπορώ να σχολιασω κατι. Διοτι ολοι γελούσαμε με τους ρόλους του αλλα.....#xamogelakaipali #metooGR #MeToo",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter for iPad,el,1436622167429591040
grandradio1,2021-09-11T09:19:08Z,"#BigBrother – Ευδοκία #Τσαγκλή: «Παράνοια, μαζί σου Αρειανάρα στα #ουράνια!» https://t.co/Nfms6X3hBZ #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021 #xamogelakaipali",,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436620313559764993
SCardiakou,2021-09-11T08:03:19Z,"""Είναι και πολύ καλό κορίτσι. Με την οικογένειά της, με τα παιδάκια της.""
Ελληνικό πρωινό infotainment. 2021.
#MeToo #metooGR",,,"Tea spiller. Works in #publishing. Suffers from amnesia in litteris and paralysis by analysis. https://t.co/vKk0IzR8Vq 
#bookpublishing #reader #firstreader #editorial",Twitter Web App,el,1436601233314357250
grandradio1,2021-09-11T07:43:00Z,"Πριν από λίγα λεπτά έφτασε στη #ΔΕΘ, ο Πρωθυπουργός Κυριάκος #Μητσοτάκης https://t.co/dz88JrmCgt #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021",,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436596120751378434
grandradio1,2021-09-11T07:33:54Z,#ΔΕΘ: “Αστακός” η #Θεσσαλονίκη με 5.500 αστυνομικούς https://t.co/cpa51oxovg #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436593832007815169
StellaArgyriou,2021-09-11T07:01:23Z,"Η έννοια του ανθρώπου είναι συνυφασμένη με το ρήμα ""νοιάζομαι"". Θα προλάβουμε πολλά εγκλήματα, αν αλλάξουμε την οπτική με την οποία βλέπουμε τον συνάνθρωπό μας. Στην τηλεόραση του ΣΚΑΪ, με τον Γιώργο Αυτιά #MeToo @georgepsillias https://t.co/HfuiFNbbYR",,,"Μητέρα. Ψυχολόγος. Listener. Λαιστρυγόνες και Κύκλωπες συναντάς, μονάχα αν τους κουβαλάς μέσα στην ψυχή σου.",Twitter Web App,el,1436585648207671299
GrHernews,2021-09-11T07:00:49Z,"Ο Κώστας Κρομμύδας μιλά για το «Ακάκιε», τη συγγραφή αλλά και το κίνημα #Metoo

#HerNews @bayaant @KostasKrommydas 

https://t.co/L4EpLhkgBg",,,,Twitter for iPhone,el,1436585506385670148
grandradio1,2021-09-11T06:54:02Z,#Σεισμός ΤΩΡΑ στη #Θήβα https://t.co/WoyVZa7T1D #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436583798926360579
grandradio1,2021-09-11T06:50:01Z,"Νέο καθεστώς μετακινήσεων προς όλους τους ηπειρωτικούς και νησιωτικούς προορισμούς με #αεροπλάνα, #τρένα και #ΚΤΕΛ https://t.co/aXVKrADM5m #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021",,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436582788409536512
kostisbitsios,2021-09-11T03:43:27Z,"https://t.co/4rOPMeG2Ci

Το 1987 με το σχολείο επισκεφθήκαμε τον χώρο προπόνησης των αθλητών στην Θεσσαλονίκη...προπονητής χτύπησε ανήλικη αθλήτρια με δύναμη. Θυμάμαι το σχήμα της παλάμης του να αποτυπώνεται στο γυμνό πόδι της αθλήτριας. Σοκαριστική η έλλειψη αντιδράσεων

#MeToo",,,Lawyer https://t.co/tnXU2SYjwH Activist. 9 years in my life - A TRUE COLLECTOR (according to @BarbraStreisand),Twitter Web App,el,1436535837181743107
KyradinaK,2021-09-10T23:09:50Z,"2022 μια ελλαδα χωρις μητσοτακη και ακροφασισμο γινεται? 
#τι_ψηφισατε_ρε_μαλακες 
#Μητσοτακη_ξερεις_εσυ 
#μητσοτακη_παραιτησου 
#Μητσοτακη_καθαρμα #παιδικη_εργασια #MeToo",,,expert sto kwstadinoy kai elenhs,Twitter for Android,el,1436466977594384416
VaccineIsSafe1,2021-09-10T22:02:40Z,Εμεις #ολοι τα #σκοτωνουμε με την απραξια μας Γιατι το να γραφεις ενα tweet #δεν ειναι #Πραξη Ειμαστε #Κτηνη με ανθρωπινο προσωπειο #ασυνοδευτα #εργασια_δομες_ανηλικων #εργασία_ανηλίκων #παιδικη_εργασια #Λιγναδης #παιδεραστια #που_ειναι_τα_παιδια #MeToo #Trafficking #metoogr,,,,Twitter Web App,el,1436450076608667676
VaccineIsSafe1,2021-09-10T21:28:54Z,Ειναι #ασυνοδευτα παιδια Εχουν εξαφανιστει χιλιαδες Καποια πριν χαθουν σπουδασαν  Θεατρικη Τεχνη στον #Λιγναδης #παιδεραστια Τωρα θα σπουδασουν στα ξενοδοχεια #εργασια_δομες_ανηλικων #εργασια_ανηλικων #παιδική_εργασία Δεν εχει ορια η Κτηνωδια Μας #trafficking #MeToo #Μητσοτακης https://t.co/YlK9iVOdJO,,,,Twitter Web App,el,1436441576704724997
VaccineIsSafe1,2021-09-10T21:00:07Z,Παύλος Σιδηρόπουλος - #Μικης_Θεοδωρακης  https://t.co/vCf20XkYAH μέσω @YouTube Εχε το νου σου στο παιδι Κλεισε τη πορτα με κλειδι Ψεματα λενε #εργασια_δομες_ανηλικων #εργασια_ανηλικων #παιδική_εργασία #ασυνοδευτα #που_ειναι_τα_παιδια #Λιγναδης #παιδεραστια #MeToo #trafficking,,,,Twitter Web App,el,1436434335880593414
grandradio1,2021-09-10T19:41:28Z,Θεσσαλονίκη:#Πορεία #οπαδών του Δικεφάλου (ΒΙΝΤΕΟ) https://t.co/DxTuMyxrLc  #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436414539919208452
grandradio1,2021-09-10T18:24:12Z,Συγκέντρωση οπαδών του #ΠΑΟΚ στην #Καμάρα https://t.co/vIhFqJGPGw #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436395095016738857
grandradio1,2021-09-10T18:15:11Z,Σύλληψη παίκτριας #ριάλιτι με κοκαΐνη: Την «τσάκωσαν» όταν προσπαθούσε να την ξεφορτωθεί στην #τουαλέτα https://t.co/Q9FhMLb8U2 #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,"Νέα από την Θεσσαλονίκη και όχι μόνο!
#salonikaplus",Twitter Web App,el,1436392826783285256
hotdoc_mag,2021-09-10T18:10:04Z,Αποκάλυψη – Οι σοκαριστικές μαρτυρίες αθλητριών της ενόργανης: Έτρεχε αίμα από τα γεννητικά μου όργανα #σεξουαλική_κακοποίηση #metoo  https://t.co/9pMnO2h9NX,,,,Hootsuite Inc.,el,1436391539840802816
Kouti_Pandoras,2021-09-10T18:10:04Z,Αποκάλυψη – Οι σοκαριστικές μαρτυρίες αθλητριών της ενόργανης: Έτρεχε αίμα από τα γεννητικά μου όργανα #σεξουαλική_κακοποίηση #metoo https://t.co/qZ53AxfcY1,,,,Hootsuite Inc.,el,1436391539777884168
