published_at,body,summary,title,url
2021-09-11T09:26:30Z,"H Ελισαβετ Κωνσταντινιδου μίλησε υπερ #φιλππιδης ως σκηνοθέτης και ηθοποιός οτι ειναι συγκλονιστικός, διαχωρίζει όσα έκανε στα θύματα του. Μάλιστα. Εντάξει. Κρίμα, δεν μπορώ να σχολιασω κατι. Διοτι ολοι γελούσαμε με τους ρόλους του αλλα.....#xamogelakaipali #metooGR #MeToo",,,https://twitter.com/
2021-09-11T09:19:08Z,"#BigBrother – Ευδοκία #Τσαγκλή: «Παράνοια, μαζί σου Αρειανάρα στα #ουράνια!» https://t.co/Nfms6X3hBZ #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021 #xamogelakaipali",,,https://twitter.com/
2021-09-11T08:03:19Z,"""Είναι και πολύ καλό κορίτσι. Με την οικογένειά της, με τα παιδάκια της.""
Ελληνικό πρωινό infotainment. 2021.
#MeToo #metooGR",,,https://twitter.com/
2021-09-11T07:43:00Z,"Πριν από λίγα λεπτά έφτασε στη #ΔΕΘ, ο Πρωθυπουργός Κυριάκος #Μητσοτάκης https://t.co/dz88JrmCgt #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021",,,https://twitter.com/
2021-09-11T07:33:54Z,#ΔΕΘ: “Αστακός” η #Θεσσαλονίκη με 5.500 αστυνομικούς https://t.co/cpa51oxovg #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,https://twitter.com/
2021-09-11T07:01:23Z,"Η έννοια του ανθρώπου είναι συνυφασμένη με το ρήμα ""νοιάζομαι"". Θα προλάβουμε πολλά εγκλήματα, αν αλλάξουμε την οπτική με την οποία βλέπουμε τον συνάνθρωπό μας. Στην τηλεόραση του ΣΚΑΪ, με τον Γιώργο Αυτιά #MeToo @georgepsillias https://t.co/HfuiFNbbYR",,,https://twitter.com/
2021-09-11T07:00:49Z,"Ο Κώστας Κρομμύδας μιλά για το «Ακάκιε», τη συγγραφή αλλά και το κίνημα #Metoo

#HerNews @bayaant @KostasKrommydas 

https://t.co/L4EpLhkgBg",,,https://twitter.com/
2021-09-11T06:54:02Z,#Σεισμός ΤΩΡΑ στη #Θήβα https://t.co/WoyVZa7T1D #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021,,,https://twitter.com/
2021-09-11T06:50:01Z,"Νέο καθεστώς μετακινήσεων προς όλους τους ηπειρωτικούς και νησιωτικούς προορισμούς με #αεροπλάνα, #τρένα και #ΚΤΕΛ https://t.co/aXVKrADM5m #salonikaplus  #MeToo   #Greece #BigBrotherGR #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #Tlive #Θεσσαλονίκη #TheBachelorGR #ΔΕΘ2021",,,https://twitter.com/
2021-09-11T03:43:27Z,"https://t.co/4rOPMeG2Ci

Το 1987 με το σχολείο επισκεφθήκαμε τον χώρο προπόνησης των αθλητών στην Θεσσαλονίκη...προπονητής χτύπησε ανήλικη αθλήτρια με δύναμη. Θυμάμαι το σχήμα της παλάμης του να αποτυπώνεται στο γυμνό πόδι της αθλήτριας. Σοκαριστική η έλλειψη αντιδράσεων

#MeToo",,,https://twitter.com/
2021-09-10T23:09:50Z,"2022 μια ελλαδα χωρις μητσοτακη και ακροφασισμο γινεται? 
#τι_ψηφισατε_ρε_μαλακες 
#Μητσοτακη_ξερεις_εσυ 
#μητσοτακη_παραιτησου 
#Μητσοτακη_καθαρμα #παιδικη_εργασια #MeToo",,,https://twitter.com/
2021-09-10T22:02:40Z,Εμεις #ολοι τα #σκοτωνουμε με την απραξια μας Γιατι το να γραφεις ενα tweet #δεν ειναι #Πραξη Ειμαστε #Κτηνη με ανθρωπινο προσωπειο #ασυνοδευτα #εργασια_δομες_ανηλικων #εργασία_ανηλίκων #παιδικη_εργασια #Λιγναδης #παιδεραστια #που_ειναι_τα_παιδια #MeToo #Trafficking #metoogr,,,https://twitter.com/
2021-09-10T21:28:54Z,Ειναι #ασυνοδευτα παιδια Εχουν εξαφανιστει χιλιαδες Καποια πριν χαθουν σπουδασαν  Θεατρικη Τεχνη στον #Λιγναδης #παιδεραστια Τωρα θα σπουδασουν στα ξενοδοχεια #εργασια_δομες_ανηλικων #εργασια_ανηλικων #παιδική_εργασία Δεν εχει ορια η Κτηνωδια Μας #trafficking #MeToo #Μητσοτακης https://t.co/YlK9iVOdJO,,,https://twitter.com/
2021-09-10T21:00:07Z,Παύλος Σιδηρόπουλος - #Μικης_Θεοδωρακης  https://t.co/vCf20XkYAH μέσω @YouTube Εχε το νου σου στο παιδι Κλεισε τη πορτα με κλειδι Ψεματα λενε #εργασια_δομες_ανηλικων #εργασια_ανηλικων #παιδική_εργασία #ασυνοδευτα #που_ειναι_τα_παιδια #Λιγναδης #παιδεραστια #MeToo #trafficking,,,https://twitter.com/
